date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:55	107382/107382	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:20:54%20GMT	http://www.corpoidealsuplementos.com.br/conteudo/institucional	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/conteudo/institucional.html	(from http://www.corpoidealsuplementos.com.br/)
10:21:00	107432/107432	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:21:00%20GMT	http://www.corpoidealsuplementos.com.br/conteudo/institucional/sobre-nos	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/conteudo/institucional/sobre-nos.html	(from http://www.corpoidealsuplementos.com.br/)
10:21:03	103989/103989	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:21:03%20GMT	http://www.corpoidealsuplementos.com.br/conteudo/institucional/lojas-fisicas	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/conteudo/institucional/lojas-fisicas.html	(from http://www.corpoidealsuplementos.com.br/)
10:21:05	103489/103489	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:21:04%20GMT	http://www.corpoidealsuplementos.com.br/conteudo/suporte-e-politica	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/conteudo/suporte-e-politica.html	(from http://www.corpoidealsuplementos.com.br/)
10:21:05	104272/104272	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:21:06%20GMT	http://www.corpoidealsuplementos.com.br/conteudo/suporte-e-politica/como-comprar	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/conteudo/suporte-e-politica/como-comprar.html	(from http://www.corpoidealsuplementos.com.br/)
10:21:06	111807/111807	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:21:06%20GMT	http://www.corpoidealsuplementos.com.br/conteudo/suporte-e-politica/formas-de-pagamento	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/conteudo/suporte-e-politica/formas-de-pagamento.html	(from http://www.corpoidealsuplementos.com.br/)
10:21:13	106728/106728	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:21:13%20GMT	http://www.corpoidealsuplementos.com.br/conteudo/suporte-e-politica/politica-de-entrega	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/conteudo/suporte-e-politica/politica-de-entrega.html	(from http://www.corpoidealsuplementos.com.br/)
10:21:13	107825/107825	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:21:14%20GMT	http://www.corpoidealsuplementos.com.br/conteudo/suporte-e-politica/seguranca-e-privacidade	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/conteudo/suporte-e-politica/seguranca-e-privacidade.html	(from http://www.corpoidealsuplementos.com.br/)
10:21:14	106437/106437	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:21:14%20GMT	http://www.corpoidealsuplementos.com.br/conteudo/suporte-e-politica/trocas-e-devolucoes	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/conteudo/suporte-e-politica/trocas-e-devolucoes.html	(from http://www.corpoidealsuplementos.com.br/)
10:21:22	102512/102512	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:21:16%20GMT	http://www.corpoidealsuplementos.com.br/central-de-atendimento	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/central-de-atendimento.html	(from http://www.corpoidealsuplementos.com.br/)
10:21:26	103370/103370	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:21:26%20GMT	http://www.corpoidealsuplementos.com.br/conteudo/canais	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/conteudo/canais.html	(from http://www.corpoidealsuplementos.com.br/)
10:21:27	103378/103378	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:21:27%20GMT	http://www.corpoidealsuplementos.com.br/conteudo/siga-nos	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/conteudo/siga-nos.html	(from http://www.corpoidealsuplementos.com.br/)
10:21:53	157574/157574	---M--	200	added ('OK')	image/jpeg	etag:%227a66219c260efc1939227f8b2755117d%22	http://ci07.ezcdn.com.br/Custom/Content/Banners/15/155_banner635351350213998851.jpg	C:/Users/QATEmployee/Desktop/suple/suple/ci07.ezcdn.com.br/Custom/Content/Banners/15/155_banner635351350213998851.jpg	(from http://www.corpoidealsuplementos.com.br/)
10:21:54	176370/176370	---M--	200	added ('OK')	image/png	etag:%22b67e48b652f0706edf8eb43288097408%22	http://ci08.ezcdn.com.br/Custom/Content/Banners/15/153_banner635346173859049407.png	C:/Users/QATEmployee/Desktop/suple/suple/ci08.ezcdn.com.br/Custom/Content/Banners/15/153_banner635346173859049407.png	(from http://www.corpoidealsuplementos.com.br/)
10:21:55	173728/173728	---M--	200	added ('OK')	image/png	etag:%22798e892471cdbc8ed9536ab85fa4490f%22	http://ci07.ezcdn.com.br/Custom/Content/Banners/15/156_banner635354873224510659.png	C:/Users/QATEmployee/Desktop/suple/suple/ci07.ezcdn.com.br/Custom/Content/Banners/15/156_banner635354873224510659.png	(from http://www.corpoidealsuplementos.com.br/)
10:21:56	10819/10819	---M--	200	added ('OK')	image/gif	etag:%228d7c2261566cf1:0%22	http://admin.corpoidealsuplementos.com.br/Custom/Content/Themes/corpo-ideal-2013/Templates/Hotsite/ajax-loader.gif	C:/Users/QATEmployee/Desktop/suple/suple/admin.corpoidealsuplementos.com.br/Custom/Content/Themes/corpo-ideal-2013/Templates/Hotsite/ajax-loader.gif	(from http://www.corpoidealsuplementos.com.br/)
10:21:58	203678/203678	---M--	200	added ('OK')	image/png	etag:%221198fe8631a84bf18a2ffa294475d844%22	http://ci07.ezcdn.com.br/Custom/Content/Banners/15/154_banner635348845741933319.png	C:/Users/QATEmployee/Desktop/suple/suple/ci07.ezcdn.com.br/Custom/Content/Banners/15/154_banner635348845741933319.png	(from http://www.corpoidealsuplementos.com.br/)
10:22:02	125664/125664	---M--	200	added ('OK')	image/png	etag:%22bbc385b1f3b443dd9a5399e282dce054%22	http://ci07.ezcdn.com.br/Custom/Content/Banners/15/152_banner635343902000556485.png	C:/Users/QATEmployee/Desktop/suple/suple/ci07.ezcdn.com.br/Custom/Content/Banners/15/152_banner635343902000556485.png	(from http://www.corpoidealsuplementos.com.br/)
10:22:02	181212/181212	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:22:02%20GMT	http://www.corpoidealsuplementos.com.br/muscle-whey-protein-900g-neonutri-edicao-limitada-7488-p240136	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/muscle-whey-protein-900g-neonutri-edicao-limitada-7488-p240136.html	(from http://www.corpoidealsuplementos.com.br/)
10:22:03	1535/1535	---M--	200	added ('OK')	image/png	etag:%22a6f121204b5acf1:0%22	http://ci09.ezcdn.com.br/Custom/Content/Flags/0009_flag.png?p=518	C:/Users/QATEmployee/Desktop/suple/suple/ci09.ezcdn.com.br/Custom/Content/Flags/0009_flaga51f.png	(from http://www.corpoidealsuplementos.com.br/)
10:22:04	6527/6527	---M--	200	added ('OK')	image/jpeg	etag:%2262eff01ac04ccdb072c2c20b272469b7%22	http://ci08.ezcdn.com.br/Custom/Content/Products/24/01/240136_Small1.jpg	C:/Users/QATEmployee/Desktop/suple/suple/ci08.ezcdn.com.br/Custom/Content/Products/24/01/240136_Small1.jpg	(from http://www.corpoidealsuplementos.com.br/)
10:22:04	5275/5275	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20May%202014%2013:22:04%20GMT	http://www.corpoidealsuplementos.com.br/sem-foto.gif	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/sem-foto.bd.delayed	(from http://www.corpoidealsuplementos.com.br/)
10:22:04	2771/2771	---M--	200	added ('OK')	image/png	etag:%22a251aa14ce4dcf1:0%22	http://www.corpoidealsuplementos.com.br/Custom/Content/Themes/corpo-ideal-2013/Images/ver-mais.png	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/Custom/Content/Themes/corpo-ideal-2013/Images/ver-mais.png	(from http://www.corpoidealsuplementos.com.br/)
10:22:14	176969/176969	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:22:14%20GMT	http://www.corpoidealsuplementos.com.br/havoc-66-packs-neonutri-1471-p38920	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/havoc-66-packs-neonutri-1471-p38920.html	(from http://www.corpoidealsuplementos.com.br/)
10:22:15	177423/177423	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:22:15%20GMT	http://www.corpoidealsuplementos.com.br/100-pure-whey-protein-900g-probiotica-p37692	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/100-pure-whey-protein-900g-probiotica-p37692.html	(from http://www.corpoidealsuplementos.com.br/)
10:22:16	6460/6460	---M--	200	added ('OK')	image/jpeg	etag:%22a2c4f81213f9407ead391fd4cd6e98ff%22	http://ci07.ezcdn.com.br/Custom/Content/Products/00/92/265_Small1.jpg	C:/Users/QATEmployee/Desktop/suple/suple/ci07.ezcdn.com.br/Custom/Content/Products/00/92/265_Small1.jpg	(from http://www.corpoidealsuplementos.com.br/)
10:22:18	69921/69921	---M--	200	added ('OK')	image/png	etag:%2269b180d04a71cf1:0%22	http://www.corpoidealsuplementos.com.br/Custom/Content/Themes/Shared/Images/cat-baner/havoc-vitrine.png	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/Custom/Content/Themes/Shared/Images/cat-baner/havoc-vitrine.png	(from http://www.corpoidealsuplementos.com.br/)
10:22:19	154918/154918	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:22:18%20GMT	http://www.corpoidealsuplementos.com.br/beta-192g-neonutri-7515-p240172	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/beta-192g-neonutri-7515-p240172.html	(from http://www.corpoidealsuplementos.com.br/)
10:22:20	7327/7327	---M--	200	added ('OK')	image/jpeg	etag:%22438403fe030ab50db50703643724feae%22	http://ci08.ezcdn.com.br/Custom/Content/Products/24/01/240172_Small1.jpg	C:/Users/QATEmployee/Desktop/suple/suple/ci08.ezcdn.com.br/Custom/Content/Products/24/01/240172_Small1.jpg	(from http://www.corpoidealsuplementos.com.br/)
10:22:21	163700/163700	---M-Z	200	added ('OK')	text/html	date:Tue,%2020%20May%202014%2013:22:21%20GMT	http://www.corpoidealsuplementos.com.br/blender-corpo-ideal-28oz-corpo-i-7374-p239947	C:/Users/QATEmployee/Desktop/suple/suple/www.corpoidealsuplementos.com.br/blender-corpo-ideal-28oz-corpo-i-7374-p239947.html	(from http://www.corpoidealsuplementos.com.br/)
10:22:22	4468/4468	---M--	200	added ('OK')	image/jpeg	etag:%222fa6951082078c87c6e1fa65b5f6ddaf%22	http://ci08.ezcdn.com.br/Custom/Content/Products/23/99/239947_Small1.jpg	C:/Users/QATEmployee/Desktop/suple/suple/ci08.ezcdn.com.br/Custom/Content/Products/23/99/239947_Small1.jpg	(from http://www.corpoidealsuplementos.com.br/)
